"","id_client","id_vehicle","id_policy","id_year","pol_bonus","pol_coverage","pol_duration","pol_sit_duration","pol_pay_freq","pol_payd","pol_usage","pol_insee_code","drv_drv2","drv_age1","drv_age2","drv_sex1","drv_sex2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_fuel","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_type","vh_value","vh_weight"
"96","A00000090","V01","A00000090-V01","Year 0",0.5,"Median2",23,2,"Monthly","No","Professional","40159","No",42,0,"M","",23,0,18,2663,101,"Diesel","FORD","MAVERICK",18,15,145,"Tourism",22548,1730
"97","A00000090","V02","A00000090-V02","Year 0",0.5,"Median2",8,1,"Monthly","No","Professional","40159","No",66,0,"F","",43,0,17,2068,89,"Diesel","RENAULT","R21",25,18,172,"Tourism",19514,1135
"98","A00000091","V01","A00000091-V01","Year 0",0.5,"Maxi",27,4,"Biannual","No","WorkPrivate","67043","No",53,0,"F","",34,0,8,1598,101,"Gasoline","OPEL","ASTRA",11,10,188,"Tourism",16610,960
"99","A00000092","V01","A00000092-V01","Year 0",0.5,"Maxi",16,2,"Monthly","No","WorkPrivate","15140","Yes",54,63,"M","F",29,41,10,1896,131,"Diesel","VOLKSWAGEN","PASSAT",11,7,208,"Tourism",25500,1375
"100","A00000093","V01","A00000093-V01","Year 0",0.5,"Maxi",15,9,"Yearly","No","WorkPrivate","69259","Yes",56,26,"F","M",37,111,10,1299,60,"Gasoline","FORD","FIESTA",12,9,155,"Tourism",9850,930
"101","A00000094","V01","A00000094-V01","Year 0",0.5,"Median2",1,1,"Yearly","No","Retired","91312","No",79,0,"F","",59,0,8,1870,120,"Diesel","RENAULT","SCENIC",8,6,188,"Tourism",24150,1430
"102","A00000095","V01","A00000095-V01","Year 0",0.5,"Maxi",26,4,"Biannual","No","WorkPrivate","06029","No",56,0,"F","",36,0,4,998,68,"Gasoline","PEUGEOT","107",6,1,157,"Tourism",9450,790
"103","A00000096","V01","A00000096-V01","Year 0",0.5,"Maxi",6,3,"Biannual","No","WorkPrivate","61209","Yes",55,54,"F","M",34,35,5,1461,86,"Diesel","RENAULT","MEGANE",6,4,174,"Tourism",19250,1195
"104","A00000097","V01","A00000097-V01","Year 0",0.85,"Mini",5,2,"Biannual","No","Professional","34172","No",41,0,"M","",12,0,9,2476,100,"Diesel","HYUNDAI","H-1",11,5,132,"Commercial",18741,0
"105","A00000098","V01","A00000098-V01","Year 0",0.5,"Mini",29,12,"Yearly","No","WorkPrivate","29293","No",55,0,"M","",36,0,24,2260,63,"Diesel","BEDFORD","CF",31,27,123,"Commercial",11355,0
"106","A00000099","V01","A00000099-V01","Year 0",0.5,"Maxi",21,2,"Biannual","No","Retired","77400","No",79,0,"M","",42,0,16,1108,56,"Gasoline","FIAT","PUNTO",18,16,150,"Tourism",9254,840
"107","A00000100","V01","A00000100-V01","Year 0",0.5,"Maxi",28,14,"Yearly","No","WorkPrivate","73008","No",53,0,"F","",33,0,14,1299,60,"Gasoline","FORD","FIESTA",15,12,155,"Tourism",9971,930
"108","A00000101","V01","A00000101-V01","Year 0",0.5,"Median1",13,1,"Monthly","No","Retired","24487","No",75,0,"M","",52,0,14,1905,70,"Diesel","CITROEN","BERLINGO",15,13,142,"Tourism",14163,1110
"109","A00000102","V01","A00000102-V01","Year 0",0.5,"Maxi",8,1,"Monthly","No","WorkPrivate","72181","No",43,0,"F","",23,0,7,1368,96,"Gasoline","FIAT","IDEA",7,6,175,"Tourism",13960,1155
"110","A00000103","V01","A00000103-V01","Year 0",0.5,"Maxi",1,1,"Yearly","No","Retired","69384","Yes",64,62,"M","F",46,44,3,1968,140,"Diesel","VOLKSWAGEN","TIGUAN",4,1,182,"Tourism",37330,1604
"111","A00000104","V01","A00000104-V01","Year 0",0.5,"Maxi",3,3,"Yearly","No","WorkPrivate","54430","No",54,0,"M","",33,0,3,1339,116,"Hybrid","HONDA","CIVIC",5,1,185,"Tourism",25350,1293
"112","A00000105","V01","A00000105-V01","Year 0",0.5,"Median1",6,2,"Biannual","No","WorkPrivate","69114","Yes",57,24,"M","M",38,4,8,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"113","A00000106","V01","A00000106-V01","Year 0",0.5,"Median2",6,6,"Yearly","No","WorkPrivate","50458","Yes",55,53,"M","F",32,25,23,2497,90,"Diesel","MERCEDES BENZ","190",26,23,174,"Tourism",24719,1175
"114","A00000107","V01","A00000107-V01","Year 0",0.85,"Maxi",6,3,"Monthly","No","WorkPrivate","24530","No",35,0,"F","",14,0,5,1461,106,"Diesel","RENAULT","SCENIC",6,5,178,"Tourism",23350,1465
"115","A00000108","V01","A00000108-V01","Year 0",0.5,"Mini",3,3,"Yearly","No","Professional","33039","No",41,0,"M","",23,0,11,1124,60,"Gasoline","PEUGEOT","PARTNER",15,9,140,"Commercial",11733,1070
"116","A00000109","V01","A00000109-V01","Year 0",0.5,"Maxi",28,2,"Yearly","No","WorkPrivate","21231","No",54,0,"F","",35,0,3,1560,90,"Diesel","PEUGEOT","207",5,2,182,"Tourism",18750,1205
"117","A00000110","V01","A00000110-V01","Year 0",0.5,"Maxi",26,2,"Monthly","No","WorkPrivate","62457","No",46,0,"F","",26,0,4,1461,106,"Diesel","RENAULT","SCENIC",6,5,178,"Tourism",24100,1365
"118","A00000110","V02","A00000110-V02","Year 0",0.5,"Maxi",2,2,"Monthly","No","WorkPrivate","62457","Yes",50,46,"M","F",31,26,2,796,51,"Gasoline","CHEVROLET","MATIZ",5,3,145,"Tourism",8690,805
"119","A00000111","V01","A00000111-V01","Year 0",0.5,"Maxi",27,6,"Yearly","No","Retired","79049","Yes",64,67,"F","M",26,46,11,1360,75,"Gasoline","CITROEN","XSARA",13,11,175,"Tourism",13416,1030
"120","A00000111","V02","A00000111-V02","Year 0",0.5,"Maxi",25,6,"Yearly","No","Retired","79049","No",67,0,"M","",46,0,15,1769,60,"Diesel","CITROEN","C15",27,13,134,"Commercial",12190,1530
